outil,tache,score_qualite,score_vitesse,score_facilite,note_globale
ChatGPT,Email,7.0,9.0,9.0,8.33
Claude,Email,7.5,7.0,9.0,7.83
Gemini,Email,5.0,8.0,8.0,7.0
Copilot,Email,8.0,8.0,8.0,8.0
ChatGPT,Resume,8.0,8.0,8.0,8.0
Claude,Resume,7.0,8.0,8.0,7.67
Gemini,Resume,7.5,8.0,7.0,7.5
Copilot,Resume,7.0,5.0,7.0,6.33
ChatGPT,Code,8.0,7.0,8.0,7.67
Claude,Code,8.0,9.0,9.0,8.67
Gemini,Code,7.0,6.0,7.0,6.67
Copilot,Code,7.0,7.0,7.0,7.0
ChatGPT,Traduction,8.0,8.0,8.0,8.0
Claude,Traduction,8.0,8.0,8.0,8.0
Gemini,Traduction,8.5,8.0,8.0,8.17
Copilot,Traduction,9.0,8.0,8.0,8.33
ChatGPT,Marketing,7.0,8.0,7.0,7.33
Claude,Marketing,8.0,6.0,8.5,7.5
Gemini,Marketing,7.0,6.5,7.0,6.83
Copilot,Marketing,7.5,7.0,8.0,7.5
